F53E95BDE126E39E054F9ADC7A5D1E18|250|36
271ABBC12DF62B24844FD0F0F0338364|251|24
C1C7C5A85EBBDCF581DDEFE133B0C54A|200|36
084908F18D6204F90C5B359CF2273F2E|200|24
3739A908375B4E018A5028CD30A7EAFB|250|36
180E146A9CB26F929E9FFDC596626300|251|24
8BE2A5E6C2E060A00C43655F9427E5C1|250|36
AB13E215BD62351B9618EC3A9BA3C7A3|251|24
0575BC38E50AC73EB6A24CC81974A388|200|36
C43DFC1168B613096F942BA793A606EE|200|24
F9B1759E24AB2929B98E5A741E65256B|150|36
230FAF0B19C8EE3A4CAEC8203B136785|170|36
BFB07CDBF54099E917A18E132F0FF8D0|230|36
9E61868083C2820363FE5EF27B4EEFA1|260|36
8DB4567AA33412AE109E39C8F6D13CC7|250|36
CCE15FC7C7AF1C206A65C3BE53BD291F|251|24
A67174E9C8D386D052075B7A8F71AD9E|250|36
4012974FE7D697CCB3443518CEDD5992|251|24
B7FADBCFD5E21FFA21F86AF329BF348E|251|24
1D88EB32F5DB6361EFE88A9F3036FEE4|250|36
9EF6BE7236AEC420383D06DD4A8CD7E3|250|36
156C8A72F2136C4E785E10C7FBAD447A|251|24
